City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Anadarko, OK,12336380.02,12605825.12,12716571.48,13224039.99,13276522.19,13607389.06,13348213.02,12859780.06,11138606.65
Anamosa, IA,33904820.45,35223460.95,35034522.3,36201695.12,38465064.37,40259051.41,41434383.56,41402835.83,39907732.86
Anchorage, AK,0,0,0,0,0,0,0,0,0
Anchorage Northeast, AK,0,0,0,0,0,0,0,0,0
Andalusia, AL,70358067.72,63706324.93,54437437.36,50787889.36,52431159.41,50658394.96,51555047.11,51454962.1,51859727.64
Anderson, IN,772941146.2,762673055.4,752254093.3,726676667.5,720342261.7,717934561.6,719472059.6,731478731.2,748505680.1
Anderson, SC,370188183.5,390511786.3,397199195.7,399700756.3,420445186.2,409699487.1,407696688.9,392811475.6,365050722.3
Andrews, SC,242168703.8,251938637.6,251527684.5,251062570.8,262030110.6,253331148.3,250960826.6,241174722,223661368.6
Andrews, TX,109267084.3,124256631.9,152270781.1,192520350.2,229460839.2,239654229.7,224683033.9,193208446.5,150075008.2
Angels, CA,58612636.51,59928034.77,49497893.61,38097360.6,30124509.45,27000574.58,23734881.81,21264628.48,18639622.81
Angola, IN,179496591.4,192958553.4,206654200.3,208117277.7,210572685.8,210654124.2,206538770.4,198849120.4,187695612.9
Ann Arbor, MI,1827618139,1825817279,1827171678,1877507683,1940866229,1954143437,1983393239,2066477933,2166382087
Anna, IL,21465317.49,29033277.25,34484318.39,37694761.47,40027899.59,40289514.93,39054941.09,35773680.54,30750186.36
Anna, TX,82860663.8,87213949.67,88690738.97,89753692.02,90684086.68,92836068.02,92187318.98,89987635.9,82303867.81
Annandale, MN,35311971.91,32404868.89,28625497.2,26655339.24,24879374.1,23401415.48,22273451.11,21944447.98,20932984.7
Anniston--Oxford, AL,673926719.3,679725682.1,660487732.4,644235771.4,677727042.2,661769661,680430950.2,697908476.9,731790314.2
Antigo, WI,45751273.47,47620438.1,46841650.42,46853666.9,45705269.01,44574877.53,42158502.06,39542914.21,34417467.41
Antioch, CA,663465250.1,656969716.8,703801494.2,743492932.3,762009357.4,772804999.6,738291977.5,687717684.4,607101511.5
Apalachicola, FL,17034061.12,18375428.98,19171922.82,19856173.11,20885218.35,21563212.74,20694188.54,18708654.44,15684493.75
Apple Valley, OH,31334515.19,31638355.02,31807756.03,33660929,34578926.34,35811913.19,34553502.58,32262651,27374976.12
Appleton, WI,1070791231,1073546395,1025005549,1026960151,1031162822,1075628833,1133306718,1250166831,1351369560
Arab, AL,90484446.63,90496382.14,86809213.01,84579180.18,88748303.65,85538400,85627910.41,83420078.11,80912173.3
Arbuckle, CA,63388043.78,67854309.28,74253950.79,76322599.89,75623649.37,75898210.43,70800912.51,62530190.05,49937615.37
Arcade, NY,31377163.28,30841827.14,31077574.9,31538718.58,31468517.58,29129486.87,26006400.71,22802743.92,18228635.67
Arcadia, LA,42707671.77,44447326.5,41325347.71,37483664.65,38189862.4,37432604.94,36451913.27,33788227.17,29513233.27
Arcadia, WI,5516246.848,5936050.463,5843584.837,5832784.836,5721214.684,5737875.59,5672121.23,5676697.421,5373649.287
Arcadia--Southeast Arcadia, FL,41205393.76,45576627.7,51175746.76,55569372.61,58406274.34,60614528.7,60098326.22,57895126.68,52955738.32
Arcata--McKinleyville, CA,180052041.1,185794770.2,202930582.9,221167156,227701046.7,220388591.9,193982646.9,158326168.5,113737453.3
Archbold, OH,88068813.95,89511110.33,90604668.86,93043461.05,92169392.5,92797535.71,87171524.71,79345899.42,65336312.22
