City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
Tucson,231,520116,530709,531880,532945,534800,535607,537528,541377,2252,2297,2303,2307,2315,2319,2327,2344,4378.782883,4262.532446,4246.442209,4222.150627,4234.113383,4269.664885,4402.515839,4551.603637,4379,4263,4246,4222,4234,4270,4403,4552
Fresno,114,494665,501429,505414,508880,514100,518203,521426,525373,4339,4399,4433,4464,4510,4546,4574,4609,3730.11355,3530.065798,3344.784015,3146.39258,3136.001945,3118.969931,3233.202702,3277.754258,3730,3530,3345,3146,3136,3119,3233,3278
Mesa,138,439041,447681,456968,464803,473132,481811,490695,500021,3181,3244,3311,3368,3428,3491,3556,3623,5432.2347,5251.083761,5312.918316,5458.324503,5638.456946,5860.367933,6208.047076,6601.75897,5432,5251,5313,5458,5638,5860,6208,6602
Sacramento,98,466488,470902,474226,478214,482762,488133,494127,500777,4760,4805,4839,4880,4926,4981,5042,5110,7978.482465,8146.064028,8117.628392,7958.013249,8124.096613,8097.342988,8201.740925,7987.329776,7978,8146,8118,7958,8124,8097,8202,7987
Atlanta,134,420003,437812,449016,453990,461154,468303,479174,491670,3134,3267,3351,3388,3441,3495,3576,3669,10256.72585,9764.128779,9426.865695,9588.802513,9680.354819,10156.88118,10978.72586,12350.27046,10257,9764,9427,9589,9680,10157,10979,12350
Kansas City,315,459787,462368,464595,467213,470629,475073,481670,488329,1460,1468,1475,1483,1494,1508,1529,1550,9063.648,8758.766809,8460.28132,8498.66347,8642.730514,9024.716667,9658.999361,10248.61945,9064,8759,8460,8499,8643,9025,9659,10249
Colorado Springs,196,416427,427434,432782,438146,442361,449572,458714,465167,2125,2181,2208,2235,2257,2294,2340,2373,4054.375194,3804.15298,3741.978188,3752.703348,3841.978081,3969.318641,4284.85542,4545.071637,4054,3804,3742,3753,3842,3969,4285,4545
Omaha,133,408958,462101,465261,468086,470423,472638,475044,476271,3075,3474,3498,3519,3537,3554,3572,3581,5515.876611,4777.093486,4622.226204,4601.836643,4789.938615,5233.91272,6291.49038,7726.05436,5516,4777,4622,4602,4790,5234,6291,7726
Raleigh,154,403892,413958,423304,431391,439503,449546,459469,465776,2623,2688,2749,2801,2854,2919,2984,3025,7058.006227,6725.068821,6438.746208,6397.235408,6429.212222,6605.130205,7065.132644,7608.154164,7058,6725,6439,6397,6429,6605,7065,7608
Miami,36,399457,406593,411149,415661,425110,434738,449149,456617,11096,11294,11421,11546,11809,12076,12476,12684,5851.551439,5584.055217,5425.13877,5286.147664,5354.044765,5493.508009,5819.481379,6382.082399,5852,5584,5425,5286,5354,5494,5819,6382
