"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Modesto , California","201,165","204,017","205,040","206,075","207,652","209,245","211,231","213,000","214,389","215,196"
"Fontana , California","196,069","199,880","201,212","202,670","203,972","206,163","208,718","211,122","213,202","214,547"
"Des Moines , Iowa","203,433","207,924","210,244","212,026","214,350","215,243","216,308","216,662","215,994","214,237"
"Moreno Valley , California","193,365","196,590","198,214","200,195","201,831","202,919","204,711","206,741","208,889","213,055"
"Santa Clarita , California","176,320","209,843","210,672","211,376","212,283","213,184","213,526","213,734","213,549","212,979"
"Fayetteville , North Carolina","200,564","208,745","208,884","211,069","210,076","209,596","211,065","209,091","210,748","211,657"
"Birmingham , Alabama","212,237","212,095","211,287","211,765","211,651","212,259","211,977","211,533","210,487","209,403"
"Oxnard , California","197,899","199,968","201,105","202,835","204,560","206,228","207,455","208,831","209,271","208,881"
"Rochester , New York","210,565","210,491","210,329","210,179","209,329","208,561","207,659","206,410","206,004","205,695"
"Port St. Lucie , Florida","164,603","166,283","167,888","169,405","172,669","177,695","183,521","189,119","194,808","201,846"
"Grand Rapids , Michigan","188,040","189,104","190,821","192,982","194,335","195,056","196,556","199,135","200,136","201,013"
"Huntsville , Alabama","180,105","182,327","183,748","186,001","187,834","190,333","192,412","195,420","198,125","200,574"
"Salt Lake  , Utah","186,440","188,265","190,183","192,121","191,837","192,163","194,680","200,932","200,435","200,567"
"Frisco , Texas","116,989","123,515","128,445","136,794","144,965","154,390","164,176","177,730","188,452","200,490"
"Yonkers , New York","195,976","197,584","198,057","198,769","199,367","199,667","200,077","199,873","199,883","200,370"
"Amarillo , Texas","190,695","193,763","195,404","196,248","197,200","197,816","198,694","199,722","199,183","199,371"
"Glendale , California","191,719","192,656","193,859","195,318","198,232","199,197","200,118","201,804","200,688","199,303"
"Huntington Beach , California","189,992","192,995","194,174","197,107","199,610","200,653","200,284","200,938","200,126","199,223"
"McKinney , Texas","131,117","137,928","143,510","149,207","157,143","163,612","173,577","182,104","191,748","199,177"
"Montgomery , Alabama","205,764","205,198","203,946","202,439","201,435","201,018","200,441","200,047","198,899","198,525"
"Augusta-Richmond County consolidated government (balance), Georgia","195,844","195,847","196,989","196,602","196,579","196,763","197,276","197,018","197,025","197,888"
"Aurora , Illinois","197,899","199,150","199,648","199,803","200,189","200,315","200,799","200,391","199,199","197,757"
"Akron , Ohio","199,110","199,112","198,969","198,972","199,008","198,588","198,068","198,085","197,884","197,597"
"Little Rock , Arkansas","193,524","195,292","196,564","197,143","197,595","198,178","198,631","198,314","197,484","197,312"
"Tempe , Arizona","161,719","164,477","168,549","170,740","175,636","179,114","184,877","185,792","191,746","195,805"
"Columbus , Georgia","189,885","195,271","198,965","203,225","200,563","198,702","196,219","193,836","194,169","195,769"
"Overland Park , Kansas","173,372","176,034","178,683","180,932","183,980","186,222","189,302","191,327","192,724","195,494"
"Grand Prairie , Texas","175,396","178,903","182,030","183,891","185,824","188,411","192,095","193,973","193,989","194,543"
"Tallahassee , Florida","181,376","182,997","186,298","185,602","187,094","188,645","188,870","191,655","192,763","194,500"
"Cape Coral , Florida","154,305","157,330","160,558","164,336","168,365","173,572","178,534","183,701","189,468","194,495"
"Mobile , Alabama","195,111","193,801","193,761","193,288","192,582","191,975","191,472","190,190","189,809","188,720"
"Knoxville , Tennessee","178,874","179,955","181,093","181,779","182,631","184,046","184,986","186,905","187,362","187,603"
"Shreveport , Louisiana","199,311","202,327","202,347","200,469","198,259","197,001","194,672","192,023","189,360","187,112"
"Worcester , Massachusetts","181,045","182,387","182,575","183,327","184,559","184,627","184,859","185,325","185,555","185,428"
"Ontario , California","163,924","165,756","166,630","167,096","168,097","170,210","172,561","175,334","180,718","185,010"
"Vancouver , Washington","161,791","169,046","170,035","171,565","173,406","176,409","178,621","180,360","182,887","184,463"
"Sioux Falls , South Dakota","153,888","156,471","159,847","163,478","167,050","170,183","173,503","177,636","180,398","183,793"
"Chattanooga , Tennessee","167,674","172,341","173,972","175,325","175,321","176,400","177,746","179,530","181,918","182,799"
"Brownsville , Texas","175,023","178,154","179,652","180,648","181,656","181,528","182,311","182,384","182,333","182,781"
"Fort Lauderdale , Florida","165,521","169,012","170,909","172,275","175,153","177,356","178,837","179,877","182,101","182,437"
"Providence , Rhode Island","178,042","178,332","178,813","178,692","179,119","179,252","179,548","179,252","179,520","179,883"
"Newport News , Virginia","180,719","180,078","180,056","181,275","181,522","180,958","180,209","179,447","178,523","179,225"
"Rancho Cucamonga , California","165,269","167,928","169,959","170,815","173,220","174,203","175,782","176,921","177,345","177,603"
"Santa Rosa , California","167,815","176,243","177,093","178,684","180,585","181,485","181,909","181,596","176,750","176,753"
"Peoria , Arizona","154,065","155,014","155,326","156,354","157,770","160,431","164,212","168,192","172,263","175,961"
"Oceanside , California","167,086","170,008","171,590","173,175","174,318","175,189","175,451","175,884","175,758","175,742"
"Elk Grove , California","153,015","155,615","158,083","160,251","162,701","165,997","169,156","171,425","172,603","174,775"
"Salem , Oregon","154,637","156,171","157,369","158,814","160,675","163,175","166,478","169,627","172,646","174,365"
"Pembroke Pines , Florida","154,750","158,278","160,245","162,133","164,065","165,800","168,321","170,707","171,975","173,591"
"Eugene , Oregon","156,185","157,424","158,238","158,441","160,260","162,910","165,927","169,391","170,701","172,622"
"Garden Grove , California","170,883","172,957","173,809","174,422","174,423","174,343","174,571","173,422","172,195","171,644"
"Cary town, North Carolina","135,234","142,209","146,154","151,328","155,439","159,712","162,477","165,927","168,042","170,282"
"Fort Collins , Colorado","143,986","146,673","149,508","152,668","156,804","160,991","163,004","165,541","168,324","170,243"
"Corona , California","152,374","154,693","157,405","158,763","160,419","163,154","166,067","167,310","168,476","169,868"
"Springfield , Missouri","159,498","160,246","161,915","163,708","164,749","166,133","166,541","167,116","167,539","167,882"
"Jackson , Mississippi","173,514","175,149","174,822","172,927","172,014","170,901","169,022","166,823","163,772","160,628"
"Alexandria , Virginia","139,966","144,219","147,291","149,637","151,375","153,654","156,698","159,215","159,069","159,428"
"Hayward , California","144,186","146,935","149,406","151,753","154,376","157,999","159,331","160,324","159,760","159,203"
"Clarksville , Tennessee","132,929","136,104","142,652","142,281","145,899","148,147","149,162","152,917","156,376","158,146"
"Lakewood , Colorado","142,980","144,087","145,396","146,878","149,434","152,052","154,039","154,966","156,682","157,935"
"Lancaster , California","156,633","158,078","158,253","159,055","159,634","159,813","159,633","159,434","158,622","157,601"
"Salinas , California","150,441","152,412","153,815","154,958","155,717","156,244","156,830","156,463","155,647","155,465"
"Palmdale , California","152,750","153,996","154,861","156,495","156,770","156,988","156,739","156,558","156,158","155,079"
"Hollywood , Florida","140,768","143,421","144,998","146,038","146,978","148,313","151,630","153,371","154,381","154,817"
"Springfield , Massachusetts","153,060","153,773","153,933","154,056","154,376","154,582","154,028","154,207","154,329","153,606"
"Macon-Bibb County, Georgia",(X),"156,211","156,606","155,031","154,329","153,945","153,152","152,840","152,903","153,159"
"Kansas  , Kansas","145,786","146,227","147,454","148,899","150,122","151,502","152,485","152,739","152,965","152,960"
"Sunnyvale , California","140,081","143,805","146,436","148,055","149,769","151,630","153,544","153,217","152,807","152,703"
"Pomona , California","149,058","149,693","150,453","151,072","152,225","152,407","152,445","152,468","151,925","151,691"
"Killeen , Texas","127,921","130,838","134,240","136,294","137,589","140,147","142,854","145,149","148,683","151,666"
"Escondido , California","143,911","146,099","147,570","148,794","149,708","150,683","151,204","151,220","151,793","151,625"
"Pasadena , Texas","149,043","151,156","152,662","153,532","154,447","154,530","154,525","153,858","152,733","151,227"
"Naperville , Illinois","141,853","143,205","144,017","144,892","146,193","146,975","147,192","147,619","148,090","148,449"
"Bellevue , Washington","122,363","130,196","132,074","133,688","136,275","139,757","141,758","145,273","147,064","148,164"
"Joliet , Illinois","147,433","147,771","148,084","147,749","147,592","147,432","147,802","147,821","147,730","147,344"
"Murfreesboro , Tennessee","108,755","111,901","114,141","117,042","120,808","125,958","131,409","136,217","141,442","146,900"
"Midland , Texas","111,147","113,941","119,794","124,163","128,352","133,440","134,935","136,205","142,173","146,038"
"Rockford , Illinois","152,871","152,129","151,258","150,608","149,378","148,465","147,796","147,008","146,307","145,609"
"Paterson , New Jersey","146,199","145,593","146,111","146,049","145,911","145,928","145,773","146,015","145,594","145,233"
"Savannah , Georgia","136,286","140,414","142,327","142,600","143,883","145,160","145,818","145,804","145,817","144,464"
"Bridgeport , Connecticut","144,229","146,146","147,096","147,716","147,870","147,409","146,287","145,346","144,772","144,399"
"Torrance , California","145,438","145,769","146,257","146,671","146,845","146,950","146,416","145,781","144,706","143,592"
"McAllen , Texas","129,877","134,639","136,277","137,421","138,719","139,909","141,888","142,249","142,530","143,268"
"Syracuse , New York","145,170","144,526","144,414","145,044","144,331","143,816","143,176","142,287","142,745","142,327"
"Surprise , Arizona","117,517","119,617","122,266","125,035","127,880","130,336","132,846","134,781","137,717","141,664"
"Denton , Texas","113,383","120,101","123,573","125,030","128,217","131,154","134,261","135,629","138,315","141,541"
"Roseville , California","118,788","122,725","124,432","126,769","128,397","130,018","132,708","135,077","138,953","141,500"
"Thornton , Colorado","118,772","121,911","124,361","127,022","129,479","132,176","134,574","136,777","139,352","141,464"
"Miramar , Florida","122,041","125,059","128,697","130,120","134,494","136,476","138,964","140,215","140,564","141,191"
"Pasadena , California","137,122","137,652","138,097","139,292","139,529","141,025","141,601","141,757","140,906","141,029"
"Mesquite , Texas","139,824","141,520","143,365","143,604","144,508","144,988","144,681","144,218","142,520","140,937"
"Olathe , Kansas","125,872","128,325","129,963","131,798","132,839","134,298","135,928","137,526","139,758","140,545"
"Dayton , Ohio","141,527","142,000","141,916","142,035","141,117","140,819","140,849","140,372","140,439","140,407"
"Carrollton , Texas","119,097","122,527","125,484","126,545","128,349","133,060","133,704","136,054","137,013","139,248"
