"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Daytona Beach , Florida","61,005","61,720","62,199","62,957","63,560","64,962","67,076","68,096","68,709","69,186"
"Dothan , Alabama","65,496","66,619","67,212","67,666","68,122","68,295","68,287","68,293","68,337","68,941"
"Rocklin , California","56,974","58,426","58,962","59,613","60,060","60,908","62,605","64,654","67,065","68,823"
"Eau Claire , Wisconsin","65,883","66,841","67,342","67,892","67,747","67,740","68,254","68,547","68,770","68,802"
"Rogers , Arkansas","55,964","58,226","59,666","60,663","62,086","63,584","65,236","66,605","67,635","68,669"
"Castle Rock town, Colorado","48,231","49,693","51,017","52,657","55,154","57,175","59,284","62,297","65,000","68,484"
"St. Cloud , Minnesota","65,842","65,873","65,930","66,085","66,536","67,352","67,832","68,103","68,181","68,462"
"Bossier  , Louisiana","61,315","63,540","65,414","66,191","67,078","68,157","68,125","68,471","68,316","68,159"
"Rockville , Maryland","61,209","62,055","63,286","63,825","65,445","66,733","66,923","67,830","68,028","68,079"
"Muncie , Indiana","70,085","70,406","69,757","69,710","69,606","69,121","69,148","68,854","68,115","67,999"
"Gaithersburg , Maryland","59,933","61,440","63,037","65,673","66,518","67,081","67,587","67,987","68,070","67,985"
"Union  , New Jersey","66,455","67,446","67,844","68,232","68,302","68,119","68,365","68,485","68,124","67,982"
"West Des Moines , Iowa","56,609","57,562","58,154","59,733","61,827","63,489","64,595","65,556","66,605","67,899"
"South San Francisco , California","63,632","64,448","65,581","66,237","66,813","67,221","67,220","67,180","67,617","67,789"
"Yorba Linda , California","64,234","65,610","66,282","66,803","67,359","67,527","68,033","67,895","67,589","67,644"
"Conway , Arkansas","58,908","61,630","62,818","63,359","64,403","64,769","65,232","65,958","67,032","67,638"
"Lodi , California","62,134","62,741","63,048","63,128","63,620","64,264","64,578","65,715","67,003","67,586"
"Palatine village, Illinois","68,557","68,886","69,170","69,378","69,427","69,302","68,953","68,506","67,942","67,482"
"Ankeny , Iowa","45,582","47,043","48,363","50,785","53,299","56,109","58,609","62,365","65,248","67,355"
"Mount Vernon , New York","67,292","67,751","67,844","68,133","68,213","68,281","68,245","67,966","67,655","67,345"
"Rowlett , Texas","56,199","57,011","57,771","58,090","58,471","60,355","62,291","62,992","66,126","67,339"
"Waterloo , Iowa","68,406","68,554","68,535","68,700","68,676","68,619","68,108","67,758","67,722","67,328"
"Lakeville , Minnesota","55,954","56,711","57,471","58,697","59,976","60,791","61,997","63,677","65,778","67,317"
"Alpharetta , Georgia","57,551","59,141","61,577","61,937","62,693","63,337","65,411","65,734","66,257","67,213"
"Jackson , Tennessee","65,211","66,726","67,018","67,467","67,112","66,760","66,718","66,748","66,952","67,191"
"Yuba  , California","64,925","65,364","65,283","65,538","65,757","66,134","66,218","66,564","66,695","67,010"
"Oshkosh , Wisconsin","66,083","66,360","66,862","66,943","66,796","66,684","66,634","66,705","66,802","67,004"
"Victoria , Texas","62,592","63,113","64,244","64,964","65,904","67,154","67,346","67,019","66,835","66,916"
"Johnson  , Tennessee","63,152","63,951","64,370","64,706","65,106","65,497","66,140","66,164","66,759","66,906"
"Redondo Beach , California","66,748","67,192","67,438","67,629","67,673","67,771","67,809","67,511","67,206","66,749"
"Tamarac , Florida","60,427","62,019","62,752","63,262","63,731","64,499","65,517","66,148","66,447","66,721"
"Laguna Niguel , California","62,979","63,774","64,134","64,381","65,079","65,396","65,145","66,011","66,079","66,385"
"Eagan , Minnesota","64,206","64,488","64,878","65,403","65,996","66,212","66,328","66,594","66,472","66,372"
"Kenner , Louisiana","66,702","66,814","66,781","66,836","66,776","66,896","67,083","66,933","66,584","66,340"
"Auburn , Alabama","53,380","54,950","57,149","58,816","60,372","61,754","62,773","63,927","65,495","66,259"
"Ames , Iowa","58,965","60,440","61,427","63,053","64,773","65,685","65,915","66,301","66,001","66,258"
"Portland , Maine","66,194","66,183","66,216","66,391","66,832","66,825","66,911","66,646","66,405","66,215"
"North Little Rock , Arkansas","62,304","63,482","64,645","65,929","66,656","66,388","66,141","65,855","66,022","65,903"
"Sammamish , Washington","45,780","58,726","59,973","61,006","62,174","63,266","63,817","64,929","65,495","65,892"
"Madera , California","61,416","61,907","62,382","62,749","63,230","63,690","64,187","64,941","65,440","65,860"
"Shawnee , Kansas","62,209","63,011","63,559","64,243","64,449","64,994","65,376","65,556","65,933","65,807"
"Jupiter town, Florida","55,156","56,214","57,203","58,501","60,772","62,810","64,066","64,888","65,377","65,791"
"Doral , Florida","45,704","47,024","47,877","50,052","53,643","55,482","57,704","60,222","60,762","65,741"
"Blaine , Minnesota","57,186","58,194","59,438","60,500","61,386","62,360","63,191","64,288","65,082","65,607"
"Tulare , California","59,278","59,789","60,625","60,905","61,444","61,915","62,538","63,486","64,274","65,496"
"Youngstown , Ohio","66,982","66,556","66,056","65,470","65,142","64,687","64,335","64,540","64,860","65,469"
"Wellington village, Florida","56,508","57,506","58,593","60,303","61,507","62,605","64,204","64,793","65,058","65,398"
"Pflugerville , Texas","46,936","50,273","51,988","53,813","54,714","57,241","59,500","63,260","64,172","65,380"
"Palo Alto , California","64,403","65,345","66,089","66,613","66,848","66,782","67,353","66,960","66,258","65,364"
"Schenectady , New York","66,135","66,098","66,087","65,829","65,846","65,538","65,076","65,300","65,345","65,273"
"Harlingen , Texas","64,849","65,638","65,786","65,674","65,510","65,208","65,229","65,153","64,996","65,022"
"Bayonne , New Jersey","63,024","63,945","64,252","64,736","65,369","65,290","65,315","65,333","64,677","64,897"
"Eden Prairie , Minnesota","60,797","61,667","62,392","62,673","63,341","63,608","64,001","64,193","64,263","64,893"
"Port Orange , Florida","56,048","56,727","56,978","57,508","58,983","60,145","61,454","63,062","64,055","64,842"
"Dublin , California","46,036","46,804","48,700","52,027","54,554","57,545","59,579","60,797","63,423","64,826"
"San Marcos , Texas","44,894","47,687","50,010","54,403","58,983","60,446","61,726","63,526","63,688","64,776"
"Noblesville , Indiana","51,969","54,248","55,542","56,849","57,725","58,741","60,304","61,874","63,303","64,668"
"Santa Cruz , California","59,946","61,434","61,954","62,731","63,172","64,082","64,396","64,815","64,643","64,608"
"Janesville , Wisconsin","63,575","63,439","63,509","63,675","63,853","63,880","64,023","64,297","64,483","64,575"
"San Clemente , California","63,522","64,255","64,612","64,845","64,947","65,142","65,185","64,973","64,699","64,558"
"Brentwood , California","51,481","52,716","53,508","54,916","56,854","58,796","60,571","62,265","63,760","64,474"
"East Orange , New Jersey","64,270","64,332","64,172","64,221","64,262","64,438","64,426","64,306","64,258","64,367"
"Cheyenne , Wyoming","59,466","60,177","61,438","62,122","62,279","62,905","63,451","63,520","63,835","64,235"
"Eastvale , California",(X),"54,966","55,627","56,247","57,386","59,231","60,670","62,309","63,815","64,157"
"Chapel Hill town, North Carolina","57,233","57,370","58,650","58,860","59,120","59,046","59,654","58,918","63,367","64,051"
"Haverhill , Massachusetts","60,879","61,505","61,860","62,272","62,605","62,861","63,200","63,664","63,926","64,014"
"Lorain , Ohio","64,097","63,940","63,756","63,735","63,773","63,662","63,729","63,774","63,984","63,855"
"Grand Junction , Colorado","58,566","59,475","59,660","59,809","59,643","60,389","61,236","61,995","63,131","63,597"
"Springfield , Oregon","59,403","59,859","59,974","60,019","60,164","60,436","61,531","62,373","62,806","63,230"
"Coon Rapids , Minnesota","61,476","61,561","61,958","62,064","62,163","62,264","62,374","62,479","62,491","62,998"
"Idaho Falls , Idaho","56,813","58,518","58,860","59,034","59,320","59,858","60,797","61,768","62,023","62,888"
"North Miami , Florida","58,786","60,991","61,553","61,946","61,903","62,040","62,018","61,939","63,481","62,822"
"Encinitas , California","59,518","60,264","60,890","61,555","62,023","62,590","62,921","62,884","62,750","62,709"
"Skokie village, Illinois","64,784","65,087","65,247","65,328","65,223","64,888","64,437","63,847","63,171","62,700"
"Leander , Texas","26,521","29,120","30,636","32,774","35,280","39,019","43,788","49,792","55,924","62,608"
"Waltham , Massachusetts","60,632","61,382","62,047","62,327","63,114","63,003","62,939","62,822","62,563","62,495"
"Council Bluffs , Iowa","62,230","62,502","62,160","62,117","62,397","62,556","62,458","62,377","62,221","62,166"
"Hamilton , Ohio","62,477","62,329","62,234","62,299","62,414","62,345","62,250","62,114","62,132","62,082"
"Moore , Oklahoma","55,081","56,724","57,830","57,800","58,462","59,593","60,479","60,973","61,452","62,055"
"Pico Rivera , California","62,942","63,221","63,430","63,597","63,637","63,670","63,438","63,133","62,677","62,027"
"Montebello , California","62,500","62,903","63,123","63,279","63,322","63,379","63,134","62,823","62,440","61,954"
"Millcreek , Utah",(X),"59,397","59,853","60,253","60,176","60,147","60,354","60,718","61,060","61,450"
"Sanford , Florida","53,570","54,377","54,937","56,283","57,643","58,289","58,968","59,542","60,107","61,448"
"National  , California","58,582","59,042","59,369","59,776","60,132","60,721","60,967","61,083","61,272","61,394"
"Burnsville , Minnesota","60,306","60,649","60,864","61,144","61,314","61,203","61,316","61,431","61,162","61,339"
"Coconut Creek , Florida","52,909","54,324","55,131","56,920","58,502","59,202","59,815","61,070","61,205","61,248"
"Lakewood , Washington","58,163","57,945","58,110","58,144","58,580","58,885","59,747","60,316","60,511","61,037"
"Taylor , Michigan","63,131","62,631","62,465","61,957","62,068","61,777","61,580","61,404","61,163","60,922"
"Novi , Michigan","55,224","56,055","57,043","58,124","58,634","58,913","59,598","59,948","60,787","60,896"
"Marietta , Georgia","56,579","57,348","58,167","58,819","59,547","59,845","60,679","60,679","60,647","60,867"
"Ocala , Florida","56,315","56,707","56,783","56,804","57,178","57,719","58,460","59,091","60,274","60,786"
"Terre Haute , Indiana","60,785","60,993","61,176","60,921","60,785","60,596","60,683","60,816","60,775","60,622"
"Woodland , California","55,468","55,786","56,272","56,713","57,328","58,385","59,098","59,923","60,474","60,548"
"Petaluma , California","57,941","58,236","58,728","59,337","59,753","60,295","60,468","60,682","61,826","60,520"
"La Habra , California","60,239","59,658","59,970","60,224","60,421","60,473","60,292","60,898","60,778","60,513"
"Malden , Massachusetts","59,450","60,131","60,591","60,938","61,217","61,383","61,276","61,079","60,735","60,470"
"Commerce  , Colorado","45,913","47,507","48,504","49,717","51,468","53,161","54,523","55,925","58,324","60,336"
"Owensboro , Kentucky","57,265","57,755","58,139","58,357","58,415","59,031","59,305","59,523","59,745","60,131"
"Bristol , Connecticut","60,477","60,599","60,658","60,558","60,588","60,524","60,304","60,131","60,101","59,947"
"West Allis , Wisconsin","60,411","60,492","60,695","60,803","60,765","60,709","60,331","59,845","59,410","59,890"
"Taylorsville , Utah","58,652","59,761","60,210","60,530","60,361","60,290","60,401","60,057","60,005","59,805"
"Utica , New York","62,235","62,036","61,886","61,680","61,289","60,912","60,618","60,374","60,040","59,750"
"Monterey Park , California","60,269","60,460","60,645","60,796","60,832","60,908","60,830","60,668","60,198","59,669"
"Bonita Springs , Florida","43,914","45,039","46,342","47,664","49,367","51,850","54,400","56,175","57,398","59,637"
"Porterville , California","54,165","58,540","58,708","58,891","58,995","59,721","59,699","59,745","59,685","59,599"
"Greenwood , Indiana","49,791","52,031","52,800","53,658","54,452","55,272","56,352","57,356","58,701","59,458"
"Bartlett , Tennessee","54,613","57,388","58,224","58,231","58,353","58,665","58,887","59,101","59,403","59,440"
"Bradenton , Florida","49,546","49,642","50,207","51,175","52,253","53,838","55,048","56,686","57,601","59,439"
"Vineland , New Jersey","60,724","60,984","60,921","60,874","60,887","60,583","60,312","59,862","59,856","59,439"
"Pontiac , Michigan","59,515","59,913","60,299","60,448","60,466","60,260","60,224","60,123","59,741","59,438"
"Meriden , Connecticut","60,868","60,699","60,672","60,491","60,384","60,063","59,708","59,646","59,566","59,395"
"Gardena , California","58,829","59,114","59,368","59,788","59,843","59,946","59,873","59,871","59,540","59,329"
"Apex town, North Carolina","37,476","38,999","40,659","42,388","44,064","45,652","47,543","50,524","53,859","59,300"
"Royal Oak , Michigan","57,236","57,697","58,139","58,562","58,763","58,750","59,226","59,374","59,356","59,277"
"Cupertino , California","58,302","59,172","59,769","60,198","60,592","60,519","60,900","60,588","60,004","59,276"
"Lancaster , Pennsylvania","59,322","59,417","59,406","59,397","59,411","59,446","59,486","59,494","59,407","59,265"
"La Mesa , California","57,065","57,644","58,099","58,556","58,855","59,697","59,751","59,722","59,389","59,249"
"Gilroy , California","48,821","49,700","50,718","51,893","52,538","53,259","55,369","57,549","58,588","59,032"
"St. Clair Shores , Michigan","59,715","59,799","59,986","60,183","60,085","59,912","59,788","59,657","59,282","58,984"
"Des Plaines , Illinois","58,364","58,725","58,978","59,112","59,104","58,811","58,430","58,078","58,854","58,899"
"Springfield , Ohio","60,608","60,267","60,079","59,872","59,730","59,449","58,906","59,168","59,263","58,877"
"Corvallis , Oregon","54,462","54,730","55,139","54,710","55,517","56,375","57,327","58,546","58,969","58,856"
"Margate , Florida","53,284","54,190","54,820","55,256","55,664","56,741","57,832","58,200","58,495","58,796"
"Bowie , Maryland","54,727","56,000","56,574","57,102","57,750","58,225","58,431","58,563","58,610","58,643"
"Casa Grande , Arizona","48,571","48,904","49,453","49,777","51,362","52,687","54,247","55,695","57,019","58,632"
"Caldwell , Idaho","46,237","47,271","47,708","48,964","50,122","51,543","53,106","54,738","56,478","58,481"
"San Rafael , California","57,713","58,232","58,448","58,995","59,130","59,074","58,918","58,801","58,704","58,440"
"Great Falls , Montana","58,505","59,411","59,284","59,549","59,359","59,281","58,915","58,879","58,751","58,434"
"Sarasota , Florida","51,917","52,527","52,954","53,149","54,015","54,956","56,440","57,185","57,746","58,285"
"Richland , Washington","48,058","50,622","51,767","52,549","53,248","54,412","55,095","56,656","57,533","58,225"
"St. Peters , Missouri","52,575","53,414","54,062","54,825","56,012","56,742","57,159","57,179","57,123","58,212"
"Hendersonville , Tennessee","51,372","52,283","52,919","53,824","54,851","55,597","56,563","57,560","57,634","58,113"
"White Plains , New York","56,853","57,183","57,255","57,647","57,733","58,020","58,000","58,388","58,141","58,109"
"Huntersville town, North Carolina","46,773","48,184","49,424","50,673","51,728","52,973","55,273","56,385","57,212","58,098"
"Santee , California","53,413","54,523","55,381","56,151","56,828","57,471","57,678","57,825","57,944","58,081"
"Kokomo , Indiana","45,468","58,208","58,212","58,204","58,158","57,980","57,762","57,858","57,922","58,020"
"Arcadia , California","56,364","56,594","56,801","57,215","57,513","57,835","58,238","58,374","58,385","57,939"
"Casper , Wyoming","55,316","56,092","57,684","59,487","59,673","60,014","58,933","57,851","57,515","57,931"
"Dubuque , Iowa","57,637","57,916","58,165","58,491","58,573","58,566","58,248","58,299","57,975","57,882"
"Orland Park village, Illinois","56,767","56,968","57,232","58,470","58,592","58,531","58,912","58,579","58,179","57,857"
"Weymouth Town , Massachusetts","53,743","54,177","55,058","55,452","55,725","55,798","55,924","56,695","57,511","57,746"
"Parker town, Colorado","45,297","46,116","47,054","48,364","49,508","51,112","52,714","54,261","55,813","57,706"
"Palm Beach Gardens , Florida","48,452","50,563","51,320","52,221","53,388","54,437","55,536","56,360","57,007","57,704"
"Hanford , California","53,967","54,612","54,524","54,741","55,086","55,608","55,663","56,383","56,971","57,703"
"Huntington Park , California","58,114","58,334","58,524","58,739","58,908","58,933","58,701","58,476","57,998","57,509"
"Taunton , Massachusetts","55,874","55,876","55,990","56,109","56,659","56,838","56,939","56,982","57,365","57,464"
"Midwest  , Oklahoma","54,371","55,386","56,232","56,835","57,095","57,289","57,417","57,165","57,186","57,407"
"Medford , Massachusetts","56,173","56,824","57,255","57,399","57,551","57,792","57,820","57,772","57,554","57,341"
"Euless , Texas","51,277","52,052","52,756","53,140","53,569","54,163","54,881","55,252","57,241","57,197"
"Shoreline , Washington","53,007","53,762","54,459","54,802","55,249","55,592","55,687","56,521","56,557","57,027"
"Smyrna , Georgia","51,271","51,636","52,322","53,074","54,419","55,583","56,246","56,285","56,512","56,666"
"Pocatello , Idaho","54,255","54,702","54,779","54,476","54,427","54,775","54,911","55,336","55,982","56,637"
"Valdosta , Georgia","54,518","55,787","57,156","56,088","56,309","55,818","55,846","56,054","56,428","56,457"
"Carson , Nevada","55,274","54,676","54,312","53,726","54,082","54,068","54,147","54,532","55,202","55,916"
"Lake Havasu  , Arizona","52,527","52,789","52,794","52,786","53,030","53,399","53,800","54,380","55,020","55,865"
"Grand Forks , North Dakota","52,838","52,770","53,576","54,914","55,811","56,535","56,729","56,754","56,637","55,839"
"Blue Springs , Missouri","52,575","52,754","52,977","53,149","53,462","53,998","54,387","54,861","55,126","55,829"
"Southaven , Mississippi","48,982","49,756","50,407","50,977","51,740","52,529","53,200","54,155","54,979","55,780"
"Tinley Park village, Illinois","56,703","57,086","57,268","57,372","57,364","57,195","56,929","56,553","56,095","55,773"
"Diamond Bar , California","55,544","55,854","56,087","56,233","56,279","56,429","56,581","56,334","56,106","55,720"
"New Brunswick , New Jersey","55,181","55,296","55,404","55,896","55,882","56,009","56,183","56,120","55,878","55,676"
"Lenexa , Kansas","48,190","48,865","49,351","50,279","50,924","52,430","53,028","53,557","55,349","55,625"
"Brookhaven , Georgia",(X),"50,147","50,942","51,479","51,990","52,693","53,148","53,630","54,029","55,554"
"Novato , California","51,904","52,680","53,221","54,142","54,856","55,406","55,913","55,701","55,640","55,516"
"Tigard , Oregon","48,035","49,244","49,818","50,361","50,674","51,060","51,978","53,373","54,652","55,514"
"Highland , California","53,104","53,671","53,939","54,150","54,325","54,553","54,752","55,198","55,311","55,417"
"Fountain Valley , California","55,313","55,950","56,318","56,601","56,671","56,643","56,423","56,051","55,663","55,357"
"Dearborn Heights , Michigan","57,774","57,278","57,115","56,653","56,596","56,322","56,097","55,873","55,627","55,353"
"Albany , Oregon","50,158","50,946","51,017","50,937","51,343","51,659","52,716","53,524","54,518","55,338"
"Grapevine , Texas","46,334","47,102","48,427","50,117","50,772","51,430","52,055","53,974","53,809","55,281"
"Apple Valley , Minnesota","49,084","49,492","49,721","49,925","50,195","50,950","51,938","52,390","54,065","55,135"
"Chicopee , Massachusetts","55,298","55,630","55,840","55,923","56,274","55,820","55,342","55,336","55,424","55,126"
"Hempstead village, New York","53,891","54,187","54,982","55,476","55,488","55,407","55,367","55,363","55,246","55,113"
"Oak Lawn village, Illinois","56,690","56,924","57,078","57,170","57,106","56,825","56,456","55,983","55,430","55,022"
"Cathedral  , California","51,200","52,077","52,478","52,846","53,187","53,516","53,943","54,413","54,793","55,007"
"Bentonville , Arkansas","35,301","37,227","38,747","40,472","42,001","44,743","47,166","49,399","51,103","54,909"
"Stonecrest , Georgia",(X),"50,726","51,537","52,084","52,607","53,327","54,037","54,278","54,424","54,903"
"Kettering , Ohio","56,163","56,000","55,925","55,798","55,552","55,375","55,244","55,144","55,014","54,855"
"Colton , California","52,154","52,712","52,945","53,105","53,706","54,291","54,507","54,680","54,637","54,824"
"Anderson , Indiana","56,129","55,798","55,441","55,465","55,252","55,020","54,985","54,898","54,883","54,765"
"West Haven , Connecticut","55,564","55,510","55,284","55,130","55,289","54,872","54,640","54,841","54,895","54,620"
"Burlington , North Carolina","49,963","51,169","51,198","51,314","51,475","51,867","52,180","53,121","53,911","54,606"
"Manhattan , Kansas","52,281","54,148","56,597","56,101","55,685","56,513","55,241","55,124","54,983","54,604"
"St. Cloud , Florida","35,183","39,474","41,175","42,504","44,605","46,742","48,578","51,700","54,200","54,579"
"Normal town, Illinois","52,497","53,119","54,025","54,667","54,517","54,294","54,391","54,452","54,629","54,469"
"Decatur , Alabama","55,683","55,916","55,837","55,465","55,269","55,027","54,729","54,437","54,364","54,445"
"Berwyn , Illinois","56,657","56,791","56,886","56,914","56,777","56,436","55,986","55,435","54,821","54,391"
"Port Arthur , Texas","53,818","54,905","54,563","54,719","54,529","55,378","55,566","55,433","54,889","54,280"
"Kingsport , Tennessee","48,205","52,924","52,739","52,817","52,822","52,757","52,521","53,487","54,006","54,127"
"Minnetonka , Minnesota","49,734","50,646","51,232","51,437","51,555","51,739","52,447","52,910","53,883","54,064"
"Rosemead , California","53,764","54,022","54,215","54,398","54,429","54,440","54,332","54,221","54,226","54,058"
"Paramount , California","54,098","54,329","54,580","54,854","54,914","54,971","54,789","54,621","54,259","53,955"
"Rocky Mount , North Carolina","57,477","57,401","56,735","56,300","55,880","55,003","54,992","54,634","54,232","53,922"
"Yucaipa , California","51,367","51,954","52,280","52,546","52,730","52,981","53,186","53,496","53,557","53,921"
"Watsonville , California","51,199","51,593","51,887","52,412","52,959","53,528","53,774","53,919","53,875","53,856"
"Elyria , Ohio","54,533","54,322","54,162","54,115","54,078","53,917","53,865","53,781","53,797","53,757"
"Leesburg town, Virginia","42,616","44,537","46,076","47,713","49,338","50,935","52,495","54,055","53,763","53,727"
"Mount Prospect village, Illinois","54,167","55,264","55,417","55,602","55,770","55,528","55,156","54,675","54,116","53,719"
"Pinellas Park , Florida","49,079","49,944","50,202","50,532","51,410","51,989","52,615","52,940","53,157","53,637"
"Delano , California","53,041","53,620","52,403","52,331","52,447","52,495","52,568","52,877","52,921","53,573"
"Bellevue , Nebraska","50,137","51,858","52,407","52,786","52,706","52,956","53,291","53,398","53,494","53,544"
"West Sacramento , California","48,744","49,106","49,528","49,978","51,637","52,431","52,933","53,304","53,601","53,519"
"Apopka , Florida","41,542","43,765","45,103","46,238","47,796","49,109","50,486","52,277","53,557","53,447"
"Palm Desert , California","48,445","49,251","49,775","50,357","50,916","51,552","52,077","52,794","53,129","53,275"
"Milford  (balance), Connecticut","51,271","51,376","51,551","51,653","51,973","52,128","52,531","52,816","53,148","53,195"
"Little Elm , Texas","25,898","27,709","29,023","32,916","35,493","38,438","42,661","45,988","49,644","53,126"
"Revere , Massachusetts","51,755","52,628","53,241","53,694","53,802","53,960","53,942","54,071","53,483","53,073"
"Peabody , Massachusetts","51,251","51,632","51,904","52,224","52,463","52,629","52,759","52,948","53,092","53,070"
"Wylie , Texas","41,427","43,597","44,769","45,352","46,439","47,348","48,499","49,536","51,003","53,067"
"Harrisonburg , Virginia","48,914","49,935","51,312","51,537","52,542","52,675","53,542","53,644","53,488","53,016"
"DeSoto , Texas","49,047","50,196","51,216","51,587","52,046","52,612","53,088","53,533","53,254","52,988"
"Pensacola , Florida","51,923","51,848","52,149","52,270","52,434","52,473","52,662","52,525","52,637","52,975"
"Olympia , Washington","46,478","47,696","48,089","48,473","49,327","49,849","50,732","51,660","52,508","52,882"
"Edina , Minnesota","47,941","48,686","49,202","49,501","49,704","50,251","51,428","51,783","52,430","52,857"
"Wheaton , Illinois","52,894","53,416","53,576","53,765","53,769","53,736","53,518","53,406","53,108","52,745"
"West New York town, New Jersey","49,708","50,511","50,853","51,252","51,529","52,540","52,596","52,732","52,668","52,723"
"Hoboken , New Jersey","50,005","50,769","51,481","52,177","52,463","52,839","53,649","53,662","53,134","52,677"
"Lacey , Washington","42,393","43,423","43,947","44,761","45,271","46,071","47,309","49,632","50,600","52,592"
"Summerville town, South Carolina","43,392","43,982","44,710","45,952","47,370","49,227","50,216","51,517","51,880","52,549"
"Coeur d'Alene , Idaho","44,137","45,009","45,519","46,250","47,629","48,761","49,802","50,584","51,210","52,414"
"Oak Park village, Illinois","51,878","52,013","52,099","52,254","52,138","52,405","52,060","52,149","52,173","52,381"
"Elkhart , Indiana","50,949","51,905","51,975","52,157","52,285","52,505","52,475","52,372","52,373","52,358"
"Maricopa , Arizona","43,482","43,866","44,030","44,814","45,543","46,109","46,914","48,002","50,028","52,127"
"Kentwood , Michigan","48,707","49,186","49,752","50,352","50,861","51,352","51,742","51,781","51,829","51,898"
"Madison , Alabama","42,938","44,304","45,189","45,929","46,636","47,170","48,158","49,207","50,491","51,593"
"Smyrna town, Tennessee","39,974","41,407","42,128","43,517","45,731","46,941","48,515","49,910","50,748","51,586"
"Glendora , California","50,073","50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846","51,544"
"Logan , Utah","48,174","49,041","49,094","49,057","49,048","49,769","50,621","51,019","51,334","51,542"
"Burien , Washington","33,313","48,786","49,511","49,915","50,304","50,664","51,377","51,992","51,731","51,500"
"Perth Amboy , New Jersey","50,814","51,137","51,556","51,722","51,832","51,705","51,765","51,821","51,677","51,390"
"Herriman , Utah","21,785","23,364","24,378","26,278","28,461","30,572","35,049","39,166","44,663","51,348"
"Grand Island , Nebraska","48,520","49,401","49,905","50,323","50,887","50,959","51,182","51,128","51,219","51,267"
"Placentia , California","50,533","51,503","51,838","52,105","52,108","52,202","52,154","51,916","51,538","51,233"
"La Crosse , Wisconsin","51,320","51,225","51,962","51,885","52,145","52,023","51,830","51,718","51,491","51,227"
"Battle Creek , Michigan","52,347","51,991","51,871","51,788","51,776","51,556","51,453","51,275","51,105","51,093"
"Beaumont , California","36,877","38,514","39,286","40,337","41,994","43,479","45,156","46,848","49,126","51,063"
"Collierville town, Tennessee","43,965","45,949","46,438","47,359","48,754","48,984","49,462","50,252","50,671","51,040"
"West Lafayette , Indiana","29,596","42,526","43,227","43,666","44,975","46,174","47,503","47,504","49,019","50,996"
"Florissant , Missouri","52,158","52,430","52,379","52,265","52,172","52,072","51,652","51,380","51,147","50,952"
"Hoffman Estates village, Illinois","51,895","52,147","52,301","52,396","52,342","52,098","51,828","51,463","51,111","50,932"
"Joplin , Missouri","50,150","48,350","48,483","48,896","49,402","49,780","50,192","50,469","50,604","50,925"
"Queen Creek town, Arizona","26,361","27,602","28,148","30,424","33,011","35,534","38,850","43,227","47,123","50,890"
"Aliso Viejo , California","47,823","48,474","49,038","49,538","49,542","49,499","50,858","50,982","51,206","50,887"
"Kannapolis , North Carolina","42,625","43,169","43,769","44,385","45,310","46,311","47,577","48,774","49,770","50,841"
"Methuen Town , Massachusetts","47,255","47,798","48,129","48,706","49,384","49,797","49,953","50,308","50,565","50,706"
"Galveston , Texas","47,743","47,555","48,100","48,658","49,251","49,691","50,186","50,569","50,396","50,446"
"Mishawaka , Indiana","48,252","48,106","48,045","48,111","48,260","48,279","48,814","48,984","49,810","50,363"
"Plainfield , New Jersey","49,808","49,816","49,972","50,223","50,315","50,464","50,276","50,367","50,430","50,317"
"Newark , Ohio","47,573","47,720","47,809","48,034","48,283","48,592","48,946","49,471","50,001","50,315"
"Stillwater , Oklahoma","45,688","46,264","46,723","47,426","48,454","49,135","49,769","50,039","50,479","50,299"
"Twin Falls , Idaho","44,125","44,851","45,088","45,846","46,480","47,280","48,287","49,298","49,713","50,197"
"Texas  , Texas","45,099","45,179","45,577","45,900","46,383","47,299","47,994","48,417","49,078","50,094"
"Cerritos , California","49,041","49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288","49,859"
"Coral Gables , Florida","46,780","47,613","49,049","49,762","50,176","50,275","50,396","50,628","50,125","49,700"
"Enid , Oklahoma","49,379","49,529","50,018","50,787","51,113","51,478","50,869","50,132","49,723","49,688"
"Lakewood , Ohio","52,131","51,662","51,400","51,257","51,088","50,811","50,528","50,211","50,012","49,678"
"Troy , New York","50,129","50,020","49,848","49,921","49,968","49,776","49,597","49,433","49,354","49,154"
"Saginaw , Michigan","51,508","51,012","50,728","50,272","49,798","49,230","48,902","48,696","48,310","48,115"
"Niagara Falls , New York","50,193","49,760","49,526","49,328","49,083","48,769","48,526","48,249","48,012","47,720"
"Charleston , West Virginia","51,400","50,992","50,858","50,657","50,133","49,457","48,789","48,040","47,172","46,536"
