City,Area,Year,PersonPerSqMile,EmissionPerPerson
Baton Rouge,86,2016,2636,7303
New York,302,2017,27939,1546
Los Angeles,469,2017,8477,4799
Chicago,227,2017,11943,2865
Houston,638,2017,3631,12357
Phoenix,518,2017,3154,6024
Philadelphia,134,2017,11796,2766
San Antonio,461,2017,3278,7779
San Diego,325,2017,4347,5989
Dallas,341,2017,3937,10884
San Jose,178,2017,5800,3734
Austin,313,2017,3040,7638
Jacksonville,747,2017,1194,7020
Fort Worth,343,2017,2550,10767
Columbus,219,2017,4026,7919
Charlotte,305,2017,2820,6193
San Francisco,47,2017,18682,1579
Indianapolis,362,2017,2385,9144
Seattle,84,2017,8675,3437
Denver,153,2017,4608,7624
Washington,61,2017,11392,2554
Boston,48,2017,14329,3160
El Paso,257,2017,2651,5415
Nashville-Davidson,476,2017,1394,9779
Detroit,139,2017,4853,6133
Oklahoma City,606,2017,1061,8560
Portland,134,2017,4835,5147
Las Vegas,134,2017,4741,5400
Memphis,317,2017,2053,7481
Louisville/Jefferson County,264,2017,2347,5868
Baltimore,81,2017,7537,3644
Milwaukee,96,2017,6185,4708
Albuquerque,188,2017,2977,5857
Tucson,231,2017,2344,4552
Fresno,114,2017,4609,3278
Mesa,138,2017,3623,6602
Sacramento,98,2017,5110,7987
Atlanta,134,2017,3669,12350
Kansas City,315,2017,1550,10249
Colorado Springs,196,2017,2373,4545
Omaha,133,2017,3581,7726
Raleigh,154,2017,3025,7608
Miami,36,2017,12684,6382
Long Beach,50,2017,9333,6064
Virginia Beach,245,2017,1836,3567
Oakland,56,2017,7578,4764
Minneapolis,54,2017,7795,5353
Tulsa,197,2017,2041,9686
Tampa,113,2017,3460,7151
Arlington,96,2017,4137,5268
New Orleans,169,2017,2317,4514
Wichita,160,2017,2439,5287
Bakersfield,149,2017,2537,5360
Cleveland,78,2017,4939,6745
Aurora,153,2017,2402,5410
Anaheim,50,2017,7010,5764
Santa Ana,27,2017,12320,5814
Riverside,81,2017,4036,4839
Corpus Christi,175,2017,1860,7200
Lexington-Fayette,284,2017,1134,5385
Henderson,105,2017,2851,6446
Stockton,62,2017,5002,4866
St. Paul,62,2017,4918,5896
Cincinnati,77,2017,3917,7635
St. Louis,62,2017,4972,6117
Pittsburgh,55,2017,5482,5514
Greensboro,128,2017,2278,8322
Lincoln,92,2017,3093,4505
Plano,72,2017,3996,8357
Orlando,105,2017,2684,12232
Irvine,66,2017,4182,10010
Newark,24,2017,11718,9517
Durham,110,2017,2453,7975
Chula Vista,50,2017,5381,5147
Toledo,81,2017,3416,5114
Fort Wayne,111,2017,2389,5486
St. Petersburg,62,2017,4235,6892
Laredo,101,2017,2568,3753
Jersey City,15,2017,17553,8067
Chandler,65,2017,3902,5814
Madison,77,2017,3322,6603
Lubbock,125,2017,2035,5241
Scottsdale,184,2017,1366,3200
Reno,107,2017,2305,7173
Buffalo,40,2017,6408,3201
Gilbert town,68,2017,3569,2513
Glendale,59,2017,4200,4149
North Las Vegas,98,2017,2454,6202
Winston-Salem,133,2017,1838,7109
Chesapeake,339,2017,708,6409
Norfolk,53,2017,4614,7514
Fremont,78,2017,3007,7212
Garland,57,2017,4181,5939
Irving,67,2017,3591,16454
Hialeah,22,2017,10742,5025
Richmond,60,2017,3787,7003
Boise,82,2017,2776,7134
Spokane,69,2017,3151,4411
Baton Rouge,86,2017,2609,7525
